CustomerID,Gender,SeniorCitizen,Tenure_Months,ContractType,MonthlyCharges,InternetService,TechSupport,PaymentMethod,TotalCharges,Churn
CUST10000,Male,0,68,Month-to-Month,41.98,DSL,No,Electronic Check,2854.64,Yes
CUST10001,Female,0,54,Month-to-Month,60.68,Fiber Optic,No,Mailed Check,3276.72,Yes
CUST10002,Male,1,57,One Year,74.15,Fiber Optic,No,Credit Card,4226.55,No
CUST10003,Male,0,23,Month-to-Month,80.94,DSL,Yes,Credit Card,1861.62,No
CUST10004,Male,1,60,One Year,51.7,No,No,Mailed Check,3102.0,Yes
CUST10005,Female,0,55,Month-to-Month,20.0,DSL,No,Bank Transfer,1100.0,Yes
CUST10006,Male,1,63,Two Year,101.04,DSL,Yes,Bank Transfer,6365.52,No
CUST10007,Male,0,56,Month-to-Month,85.08,DSL,No,Mailed Check,4764.48,No
CUST10008,Male,1,55,Month-to-Month,91.4,Fiber Optic,Yes,Credit Card,5027.0,Yes
CUST10009,Female,0,25,Month-to-Month,63.56,DSL,No,Electronic Check,1589.0,Yes
CUST10010,Male,0,26,One Year,80.53,DSL,No,Electronic Check,2093.78,No
CUST10011,Male,0,49,Month-to-Month,20.0,No,Yes,Bank Transfer,980.0,No
CUST10012,Male,1,63,Month-to-Month,37.89,No,No,Electronic Check,2387.07,Yes
CUST10013,Male,0,45,Two Year,105.83,DSL,No,Credit Card,4762.35,No
CUST10014,Female,1,39,Two Year,70.93,DSL,No,Mailed Check,2766.27,No
CUST10015,Male,1,65,One Year,126.08,Fiber Optic,No,Credit Card,8195.2,No
CUST10016,Female,0,69,Month-to-Month,40.76,Fiber Optic,Yes,Electronic Check,2812.44,Yes
CUST10017,Female,0,56,Month-to-Month,146.56,No,No,Credit Card,8207.36,Yes
CUST10018,Female,0,9,One Year,150.86,DSL,Yes,Bank Transfer,1357.74,No
CUST10019,Male,0,70,Month-to-Month,50.65,DSL,No,Mailed Check,3545.5,Yes
CUST10020,Female,0,28,Month-to-Month,56.37,Fiber Optic,No,Mailed Check,1578.36,No
CUST10021,Male,0,45,Month-to-Month,107.56,Fiber Optic,No,Electronic Check,4840.2,Yes
CUST10022,Female,0,26,Two Year,53.12,Fiber Optic,No,Electronic Check,1381.12,Yes
CUST10023,Female,0,28,Month-to-Month,62.03,No,No,Credit Card,1736.84,Yes
CUST10024,Female,0,40,One Year,48.0,Fiber Optic,No,Credit Card,1920.0,Yes
CUST10025,Female,0,15,Month-to-Month,48.81,DSL,No,Mailed Check,732.15,No
CUST10026,Female,1,6,One Year,73.54,Fiber Optic,No,Bank Transfer,441.24,Yes
CUST10027,Female,0,27,One Year,61.79,DSL,No,Bank Transfer,1668.33,No
CUST10028,Female,1,38,Month-to-Month,20.0,Fiber Optic,No,Electronic Check,760.0,Yes
CUST10029,Female,0,68,Month-to-Month,113.23,No,Yes,Bank Transfer,7699.64,No
CUST10030,Male,0,64,One Year,117.98,Fiber Optic,No,Mailed Check,7550.72,Yes
CUST10031,Male,0,30,Month-to-Month,85.37,DSL,No,Bank Transfer,2561.1,Yes
CUST10032,Female,0,3,One Year,73.77,Fiber Optic,No,Mailed Check,221.31,Yes
CUST10033,Female,0,62,One Year,41.92,DSL,Yes,Electronic Check,2599.04,No
CUST10034,Female,0,12,Month-to-Month,56.14,DSL,No,Credit Card,673.68,Yes
CUST10035,Male,0,30,Month-to-Month,102.67,Fiber Optic,Yes,Bank Transfer,3080.1,Yes
CUST10036,Female,0,38,Month-to-Month,87.94,Fiber Optic,No,Mailed Check,3341.72,No
CUST10037,Male,0,60,One Year,83.66,Fiber Optic,No,Electronic Check,5019.6,Yes
CUST10038,Male,0,38,Month-to-Month,84.93,Fiber Optic,No,Mailed Check,3227.34,No
CUST10039,Male,0,15,Two Year,101.87,DSL,Yes,Bank Transfer,1528.05,No
CUST10040,Male,0,18,Two Year,97.37,DSL,Yes,Mailed Check,1752.66,No
CUST10041,Male,0,52,Month-to-Month,90.68,DSL,Yes,Electronic Check,4715.36,No
CUST10042,Female,0,29,Month-to-Month,59.55,Fiber Optic,Yes,Electronic Check,1726.95,No
CUST10043,Female,0,60,Month-to-Month,120.53,Fiber Optic,No,Credit Card,7231.8,Yes
CUST10044,Female,1,21,Two Year,55.45,No,No,Credit Card,1164.45,No
CUST10045,Female,0,17,Month-to-Month,43.94,Fiber Optic,No,Bank Transfer,746.98,Yes
CUST10046,Female,0,18,Month-to-Month,53.09,Fiber Optic,Yes,Electronic Check,955.62,No
CUST10047,Male,0,57,One Year,34.26,DSL,No,Bank Transfer,1952.82,No
CUST10048,Female,0,37,Month-to-Month,87.51,DSL,No,Electronic Check,3237.87,No
CUST10049,Female,0,60,Month-to-Month,69.59,Fiber Optic,No,Bank Transfer,4175.4,Yes
CUST10050,Male,0,38,Month-to-Month,103.86,Fiber Optic,Yes,Electronic Check,3946.68,Yes
CUST10051,Female,0,12,One Year,20.0,Fiber Optic,No,Bank Transfer,240.0,Yes
CUST10052,Male,0,1,Month-to-Month,76.33,Fiber Optic,No,Mailed Check,76.33,Yes
CUST10053,Female,0,58,Month-to-Month,62.29,No,No,Credit Card,3612.82,Yes
CUST10054,Male,0,3,Two Year,59.63,DSL,No,Mailed Check,178.89,No
CUST10055,Female,0,63,Month-to-Month,38.78,DSL,No,Credit Card,2443.14,Yes
CUST10056,Female,0,21,One Year,71.31,No,No,Bank Transfer,1497.51,No
CUST10057,Male,0,23,Month-to-Month,47.06,DSL,No,Electronic Check,1082.38,No
CUST10058,Male,0,9,Month-to-Month,115.59,No,No,Electronic Check,1040.31,Yes
CUST10059,Male,0,55,Month-to-Month,88.81,DSL,Yes,Bank Transfer,4884.55,No
CUST10060,Male,0,19,Month-to-Month,99.44,Fiber Optic,No,Electronic Check,1889.36,Yes
CUST10061,Male,0,62,Month-to-Month,20.0,DSL,Yes,Bank Transfer,1240.0,No
CUST10062,Male,0,39,Month-to-Month,96.57,DSL,No,Mailed Check,3766.23,Yes
CUST10063,Male,0,27,Month-to-Month,93.74,Fiber Optic,Yes,Bank Transfer,2530.98,No
CUST10064,Male,0,46,Month-to-Month,57.81,DSL,Yes,Electronic Check,2659.26,Yes
CUST10065,Female,0,34,Month-to-Month,64.41,DSL,No,Electronic Check,2189.94,Yes
CUST10066,Female,0,33,Month-to-Month,40.52,Fiber Optic,No,Bank Transfer,1337.16,No
CUST10067,Male,0,50,Month-to-Month,60.77,No,Yes,Bank Transfer,3038.5,Yes
CUST10068,Female,0,20,One Year,86.94,DSL,No,Bank Transfer,1738.8,No
CUST10069,Female,1,40,Month-to-Month,49.92,DSL,No,Bank Transfer,1996.8,Yes
CUST10070,Female,0,58,Month-to-Month,71.08,Fiber Optic,No,Credit Card,4122.64,Yes
CUST10071,Female,0,31,One Year,146.37,Fiber Optic,No,Credit Card,4537.47,No
CUST10072,Male,1,38,Month-to-Month,40.64,No,Yes,Mailed Check,1544.32,Yes
CUST10073,Female,1,45,Month-to-Month,79.96,DSL,Yes,Credit Card,3598.2,No
CUST10074,Male,1,41,Month-to-Month,38.99,Fiber Optic,No,Electronic Check,1598.59,Yes
CUST10075,Female,0,9,Two Year,25.44,DSL,No,Credit Card,228.96,No
CUST10076,Female,0,9,Month-to-Month,93.98,DSL,No,Credit Card,845.82,Yes
CUST10077,Female,0,63,One Year,57.79,DSL,No,Electronic Check,3640.77,No
